b1,b2,b3,t
-4.60290151377985,0.203639697492286,-0.549352985496113,0
-4.65321167394452,0.188991812655809,-0.544683684799633,0.0050251256281407
-4.68751264424379,0.172159614909177,-0.537990225980162,0.0100502512562814
-4.70587003587192,0.153213778461684,-0.529394510002144,0.0150753768844221
-4.70840531021107,0.132237629113809,-0.519023692697407,0.0201005025125628
-4.69529460879853,0.109326643676503,-0.507009399175574,0.0251256281407035
-4.66676739517757,0.084587889715188,-0.493486935673737,0.0301507537688442
-4.62310491673035,0.0581394090902366,-0.478594502763965,0.0351758793969849
-4.56463849514862,0.0301095489987758,-0.46247241374224,0.0402010050251256
-4.4917476547124,0.000636244434340869,-0.445262321911264,0.0452261306532663
-4.40485809801505,-0.030133743829595,-0.427106460343277,0.050251256281407
-4.30443953919706,-0.0620456314593815,-0.408146897568468,0.0552763819095477
-4.19100340512693,-0.0949374485676533,-0.38852481248074,0.0603015075376884
-4.06510041529712,-0.128640908969592,-0.368379791586475,0.0653266331658292
-3.92731805148499,-0.162982306055319,-0.347849151544702,0.0703517587939698
-3.77827792846249,-0.197783430571672,-0.327067289759631,0.0753768844221106
-3.61863307722509,-0.232862505557128,-0.306165065590127,0.0804020100502513
-3.44906515234888,-0.268035133647636,-0.285269214536377,0.085427135678392
-3.27028157517692,-0.303115251968342,-0.264501797552913,0.0904522613065327
-3.08301262458045,-0.33791608984626,-0.24397968742048,0.0954773869346734
-2.88800848704015,-0.372251124621402,-0.223814093888025,0.100502512562814
-2.68603627774643,-0.405935030898238,-0.204110129071539,0.105527638190955
-2.47787704432808,-0.438784618664869,-0.184966414369733,0.110552763819095
-2.26432276468574,-0.470619755813304,-0.166474729928569,0.115577889447236
-2.04617335023261,-0.501264270719921,-0.14871970745882,0.120603015075377
-1.82423366563051,-0.530546830689619,-0.131778566983831,0.125628140703518
-1.5993105758569,-0.558301792229431,-0.115720897869917,0.130653266331658
-1.37221003114916,-0.584370019296412,-0.100608484270002,0.135678391959799
